#TYPE System.Management.Automation.PSCustomObject
"AboutMe","Skills","School"
"<span style=""color:rgb(69, 69, 69);text-transform:none;text-indent:0px;letter-spacing:normal;font-family:gibson, sans-serif;font-size:16px;font-style:normal;font-weight:300;word-spacing:0px;float:none;display:inline !important;white-space:normal;orphans:2;widows:2;text-decoration-style:initial;text-decoration-color:initial;"">As Medical Director of Quality,&nbsp;I am&nbsp;interested in applying principles of high reliability to the intensive care unit environments of&nbsp;SmartterHealth hospital to prevent harm, discover problems, and work collaboratively toward solutions. In addition I am&nbsp;a proponent of maximizing performance transparency. My current projects include using resilience engineering to minimize unnecessary variation in the delivery of care, specifically for pediatric septic shock and pediatric stroke. I&nbsp;also am working on a project to determine the clinical utility of noninvasive measurements of cardiac performance indices in pediatric patients.</span>","Managment|health regulations|policy changes|clinical guidance to physicians|developing a budget|coordinating community relationships|Public Speaking","Duke University Medical Center|Baylor College of Medicine"
"","",""
"<span style=""color:rgba(0, 0, 0, 0.75);font-family:-apple-system, system-ui, blinkmacsystemfont, &quot;segoe ui&quot;, roboto, &quot;helvetica neue&quot;, &quot;fira sans&quot;, ubuntu, oxygen, &quot;oxygen sans&quot;, cantarell, &quot;droid sans&quot;, &quot;apple color emoji&quot;, &quot;segoe ui emoji&quot;, &quot;segoe ui emoji&quot;, &quot;segoe ui symbol&quot;, &quot;lucida grande&quot;, helvetica, arial, sans-serif;background-color:#ffffff;"">Experimenting with new medicine to treat cancer. Free from any side effects, can be used with chemotherapy and radiotherapy.It is a new derivative of vitamin A - 6-OH-11-O-hydroxyphenantrene (IIF) .</span>","Surgery|Cancer Treatment|Radiation Treatment|Clinical Trails|Chemotherapy","Baylor University|John Hopkins University"
"Assertively myocardinate clicks-and-mortar ideas with end-to-end quality vectors. Uniquely disseminate robust catalysts for change and clicks-and-mortar experiences. Phosfluorescently initiate technically sound mindshare with top-line potentialities.","Hospital Medicine|Hospital Management|Outcomes Research|Teaching|Strategic Planning|EMR|Innovation","Vanderbilt University School of Medicine|University of Tennessee - Knoxville"
"","",""
"","",""
"","",""
"","",""
"","",""
"<span style=""color:rgba(0, 0, 0, 0.9);font-family:-apple-system, system-ui, BlinkMacSystemFont, &quot;Segoe UI&quot;, Roboto, &quot;Helvetica Neue&quot;, &quot;Fira Sans&quot;, Ubuntu, Oxygen, &quot;Oxygen Sans&quot;, Cantarell, &quot;Droid Sans&quot;, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Symbol&quot;, &quot;Lucida Grande&quot;, Helvetica, Arial, sans-serif;font-size:16px;background-color:rgb(255, 255, 255);"">I received my medical degree from The Boucher Institute of Naturopathic Medicine in 2011. After a year working at a private medical clinic in Vancouver BC, I moved to Los Angeles and have been in practice at Synergy Natural Medicine Clinic in Monrovia, CA since 2012.</span><br style=""box-sizing:inherit;color:rgba(0, 0, 0, 0.9);font-family:-apple-system, system-ui, BlinkMacSystemFont, &quot;Segoe UI&quot;, Roboto, &quot;Helvetica Neue&quot;, &quot;Fira Sans&quot;, Ubuntu, Oxygen, &quot;Oxygen Sans&quot;, Cantarell, &quot;Droid Sans&quot;, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Symbol&quot;, &quot;Lucida Grande&quot;, Helvetica, Arial, sans-serif;font-size:16px;background-color:rgb(255, 255, 255);""><br style=""box-sizing:inherit;color:rgba(0, 0, 0, 0.9);font-family:-apple-system, system-ui, BlinkMacSystemFont, &quot;Segoe UI&quot;, Roboto, &quot;Helvetica Neue&quot;, &quot;Fira Sans&quot;, Ubuntu, Oxygen, &quot;Oxygen Sans&quot;, Cantarell, &quot;Droid Sans&quot;, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Symbol&quot;, &quot;Lucida Grande&quot;, Helvetica, Arial, sans-serif;font-size:16px;background-color:rgb(255, 255, 255);""><span style=""color:rgba(0, 0, 0, 0.9);font-family:-apple-system, system-ui, BlinkMacSystemFont, &quot;Segoe UI&quot;, Roboto, &quot;Helvetica Neue&quot;, &quot;Fira Sans&quot;, Ubuntu, Oxygen, &quot;Oxygen Sans&quot;, Cantarell, &quot;Droid Sans&quot;, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Symbol&quot;, &quot;Lucida Grande&quot;, Helvetica, Arial, sans-serif;font-size:16px;background-color:rgb(255, 255, 255);"">Prior to receiving my medical degree, I obtained a degree in psychology and worked as a social worker. In 2006, I volunteered as a relief worker through Global Resource Alliance, helping traditional healers provide primary care to the local villages in Musoma, Tanzania. This transformative experience resulted in my application to naturopathic medical school as soon as I returned home from Africa.&nbsp;</span>","Ozone and Prolozone Therapy|undamentals and Clinical Applications of IV Nutrient Therapy|IV Cancer Therapy|Biotherapeutic Drainage|Prolotherapy|Visual Homeopathy","Stanford University|Johns Hopkins University"
"<span style=""color:rgba(0, 0, 0, 0.9);font-family:-apple-system, system-ui, BlinkMacSystemFont, &quot;Segoe UI&quot;, Roboto, &quot;Helvetica Neue&quot;, &quot;Fira Sans&quot;, Ubuntu, Oxygen, &quot;Oxygen Sans&quot;, Cantarell, &quot;Droid Sans&quot;, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Symbol&quot;, &quot;Lucida Grande&quot;, Helvetica, Arial, sans-serif;font-size:16px;background-color:rgb(255, 255, 255);"">Primary care of the pediatric age-group is an essential part of civilization. As a physician trained extensively in pediatric care, I have dedicated every encounter not just to the alleviation of disease and suffering, but also to the education of patients and families about healthy lifestyles. This includes simple adjustments in lifestyle that help children stay healthy or get on the path to a healthy life.</span>","Intergrated Oncology|Clinical Nutrition|Naturopathic Medicine|Biochemistry",""
